      55       52
      11       11
     458      452
     637      512
       9        9
      11       11
      13       13
    1152     1148
      23       23
      26       21
      60       60
      48       41
     366      381
      39       40
     168      168
      15       15
    3117     3009
      10       10
      44       45
    3168     2614
      13       13
      29       27
      71       71
     243      241
    2893     2464
     113      111
     245      245
    1104      855
      53       66
    7265     5645
    1818     1078
      12       12
      51       53
     397      389
      25       25
      29       29
    1256     1209
    1899     1630
    1337     1165
      77       77
      55       59
     152      156
     309      309
     115      112
    4262     4078
     354      346
    7756     6844
      16       16
      31       34
       8       10
       9       10
     929      875
      13       13
       8        8
      97      102
       9        9
       8        8
    1487     1487
      87       90
     103      107
      54       54
     646      690
     165      134
      28       28
      10       10
      10       11
      84       85
      30       30
       8        9
    1145      911
     308      295
       8        8
       5        5
     175      173
     218      234
      26       26
    2430     1979
    1451     1515
     458      426
      96       96
     194      188
      15       15
      15       15
     671      634
    2771     2788
      89       68
     130      128
     157      159
    1109      756
      24       25
     155      150
     461      412
      57       57
      43       43
      49       40
    5192     4504
      19       20
    2372     2422
     544      560
     117      111
      38       36
      11       11
      27       27
      53       53
     429      409
      24       24
      30       32
    2489     2354
      52       52
      53       53
       9        9
    1031     1073
    7267     6085
     379      349
      60       62
     498      361
     210      210
    1411     1239
     593      578
      26       26
     107      106
      28       30
      13       13
     754      598
     225      225
     290      306
    1234     1177
    1857     1649
      19       19
      71       64
     290      296
      72       75
    2388     1860
       6        6
      17       17
     226      170
      65       65
     105      109
       9        9
       9        9
    4033     2657
    3906     2892
      48       43
     395      446
     124      117
     122      119
      26       30
       7        7
     168      168
      16       16
      39       38
      29       29
    3927     3962
       7        7
     147      150
      29       29
      11       11
      24       24
     354      325
      63       66
       7        7
     269      259
     127      124
      13       13
    3521     2643
      17       16
      20       20
    5833     5074
     112      101
     519      477
      48       48
      43       45
    1373     1368
     135      135
     217      181
     334      314
      19       19
      12       12
    3305     2687
      11       11
      51       51
      32       32
     423      402
     282      280
     207      188
       7        7
     109       92
      28       30
      30       30
      11       11
    1415     1488
      16       16
      28       28
      53       53
      30       30
      84       84
     561      561
      11       11
      16       15
     110      112
      12       13
     219      182
      15       15
     386      407
     119      113
     974      851
     422      342
      32       30
      59       59
     270      253
      25       25
     186      203
       9        9
    2584     2406
    1950     1950
    1802     1718
      10        9
      21       21
    3555     2672
      80       83
     300      296
      55       55
      64       61
    1476     1217
       7        7
    4310     4334
      42       42
      42       39
       9        9
     321      296
     981      991
       9        9
     295      297
    3089     3089
     135      140
    2565     2365
      49       52
      29       29
      32       30
      48       48
      17       18
      21       19
    1151     1119
     164      164
      87       89
    4724     4705
      75       79
     165      170
    1252     1253
      29       31
      74       74
      12       12
       5        5
      41       41
      17       17
    2099     1840
      14       15
     485      371
       7        7
    4981     4563
       7        7
      57       58
    1941     1637
      18       18
       6        6
     124      146
     520      395
    1785     1400
      48       49
     124      118
    2004     2003
    1215     1182
      75       75
      17       17
      45       45
      45       47
    1302     1136
      38       42
       9       10
     337      350
     107      104
      12       11
     222      220
      13       13
     267      277
      25       24
     350      372
    1248     1186
     404      375
      11       11
      58       56
     868      794
      14       14
      65       78
      32       28
      97       97
      57       57
    1065      948
     266      290
      84       84
      12       12
      31       22
    1303     1191
     467      348
      11       11
      20       20
     104      112
      33       33
      10       10
      16       16
      55       56
     219      216
    1878     1534
      11       11
    1855     1892
    6861     4810
    1651     1329
      11       11
     305      310
      80       81
      14       14
    1669     1374
     238      236
    1187     1142
      29       29
     185      185
     291      271
       7        7
       9        9
     626      656
     351      355
      37       30
     148      145
     214      195
     874      863
      13       13
      74       74
      13       13
    1447     1204
      23       22
     258      248
      12       12
     836      895
    9824     6936
      88       86
     259      261
      41       42
       6        6
     457      505
    2803     2743
     523      436
      16       18
      94       95
      36       37
     223      217
      62       62
     509      520
      26       21
    3055     2576
     176      178
    4960     4214
     894      929
     145      147
      12       12
    1464     1420
      71       71
      47       51
       7        7
    7045     5077
     248      251
      13       15
     877      860
     379      349
     791      599
     274      264
      21       20
     309      309
     145      141
      23       23
    6404     5094
     894      855
     104      100
     175      182
     150      166
    2096     1860
    2041     1862
    1951     1735
      17       20
     227      227
     136      174
      68       68
    5438     4332
       5        5
       9        9
     153      156
      13       16
      44       44
     317      297
      62       59
      26       26
     747      625
      76       75
       8       11
    2155     1098
     145      144
     280      281
    4156     2858
      23       23
      51       53
    1804     1744
      11       11
     420      353
      72       72
      65       63
      43       43
     361      378
     155      153
     217      216
       7        7
    1260     1209
     308      296
      94       94
     224      213
     456      437
    3785     3254
    1381     1076
    3125     3125
      56       56
    5380     4650
    1346     1229
     124      112
    7894     5875
      20       19
     152      152
    4846     3974
     661      716
     161      157
     388      349
      31       28
      15       15
    3451     3391
      58       61
      74       79
     272      266
      62       62
    1760     1757
      20       20
      13       13
      14       16
       9        9
      21       25
    4158     2951
      51       51
      16       17
      25       25
       8        9
    5149     4992
      18       19
       7        7
    2799     2298
      92       92
    3582     3070
     149      136
      24       24
     116      111
      11       11
    1172     1144
      11       12
      27       27
     265      253
      87       89
      68       68
    3750     2878
     309      309
     471      454
      19       19
       8       11
      12       12
     250      230
     266      260
      18       19
    5914     5556
     217      206
       7        7
      26       25
    2681     2598
    2545     2274
      11       12
       9        9
    1122     1165
     506      500
      14       14
     663      635
     546      433
     286      284
      26       26
    3698     3554
     469      436
      40       40
     800      776
      50       51
      19       20
      37       36
      19       19
     280      277
    8759     8470
     181      145
    2094     1829
    1266     1242
     717      608
    6478     6119
      16       16
     199      186
     119      122
      17       17
      81       74
      19       19
     560      451
      30       31
     733      649
    3190     3344
      18       18
     690      670
    4096     3946
      27       32
      14       14
     191      191
      21       21
     123      113
      10       10
      76       74
    1230      988
     155      167
      31       31
      16       16
    3128     2380
     340      361
      42       39
      39       41
     867      865
     182      178
     644      631
    1092     1230
      49       49
      11       11
     256      257
     143      147
       5        6
    4029     3962
     158      153
      13       13
     787      772
     199      163
      14       14
    1273     1197
      42       44
     585      518
      56       56
       9       14
    5191     4477
    2628     2719
      11       10
     234      216
     127      120
      18       18
      18       18
      24       24
      16       16
      39       40
    1734     1698
       9       10
      67       69
      14       14
      31       33
      53       53
      30       32
      49       49
      15       14
      15       15
      35       35
     143      127
      13       13
    1808     1866
      15       16
      21       21
     384      384
    3072     2761
      29       28
     111      111
     819      733
     616      588
      10       10
     258      323
     764      706
    1001      929
     152      152
    6594     5295
      11       11
     844      847
     200      194
      53       60
      11       12
      25       25
      51       54
       7        7
      41       41
      74       74
      31       31
    1678     1418
     224      196
     109      105
     109      109
      11       11
     289      309
    1001      929
      92       95
     986      986
     106      106
      46       46
     177      171
      26       27
    5556     5299
     562      543
       7        7
      87       87
      65       64
    1555     1327
      13       14
     334      303
     104       84
       6        6
      11       11
     181      143
      13       13
    8662     6467
      49       59
      71       71
      59       58
      31       33
      41       41
     544      423
       7        7
     288      288
    1709     1381
      34       34
     280      291
      11       12
     258      260
    9039     8299
      77       68
    1246      827
     126      126
      49       49
      17       17
    5796     5730
     220      222
    7092     6154
      75       73
     564      432
      18       21
     948      837
     109      113
      31       31
    3569     3483
    1125      717
      14       16
      71       78
     332      340
      22       25
    3877     4101
    1445     1188
       7        7
     231      222
      44       44
     287      296
     174      180
       4        6
    2885     2441
     149      140
      39       34
      45       45
    1455     1300
     139      143
      29       29
    1245     1265
      29       29
     160      160
      67       67
    3351     3292
     147      157
    3751     3427
      12       11
      30       30
      91      100
      97       97
     123      121
     136      139
       9        9
     263      262
    3046     2084
     309      309
       6        6
      48       43
    3896     3317
      40       40
      47       47
      62       62
      39       39
      23       23
    4360     3463
      33       34
       7        7
    3093     3104
    1660     1231
     159      163
      24       24
      24       24
    2291     2318
      30       31
      95       91
     181      143
      20       18
      21       21
     309      309
     555      521
     953      794
     918      837
    7211     5978
      14       14
     697      673
      71       68
      42       42
    2921     2672
      48       43
      40       40
       7        7
      98       98
     227      227
       9        9
      55       58
      56       48
      16       16
     345      396
    1322     1214
       4        6
      11       11
     267      269
      57       59
    1073      696
      27       27
       7        7
      40       40
      16       16
      35       34
    1848     1569
      16       16
    2442     2377
      28       31
      41       41
    5450     4617
     496      384
      22       22
     135      135
    6970     6708
     286      286
      56       51
      83       93
      79       78
      26       26
     314      323
      11       11
    1084      662
     217      217
     683      621
     672      581
     436      446
    1018      952
      55       55
      13       13
      44       44
      45       45
    1400     1293
     337      294
     157      147
    9507     6968
     134      134
      32       34
    5561     4524
      41       41
      49       49
     505      474
      21       21
      13       14
      44       44
      10       11
    1328     1359
       5        5
     234      234
      55       55
     262      260
      73       75
      52       52
     160      156
      18       18
     309      309
     152      154
     691      611
      42       41
    3830     2832
    8962     6138
    1652     1640
      36       36
       7        7
      80       85
      65       61
     342      337
     335      330
      15       15
     377      323
    7156     6782
     420      393
     363      261
      10        9
      67       62
     615      643
      29       27
      13       13
      31       31
     207      213
      30       31
     369      383
     186      183
     345      298
    2820     2572
       9        9
     116      117
     308      308
      47       46
      78       76
     508      407
      51       46
    7070     4984
      81       81
      88       86
      20       20
    1178      758
      29       27
      84       84
     281      289
     146      157
     144      138
    2809     2367
    1976     1758
      30       30
     389      389
    1168     1114
       7        7
     153      154
     388      349
      73       73
      18       18
    1807     1810
     718      760
      30       30
      12       14
      52       52
    1444     1154
    1947     1917
    1890     1159
      89       89
      10       10
      11       11
      29       29
      17       17
     924      918
     103      103
   10401     9990
     120      118
     106      107
    3930     3706
    7772     6478
      32       32
      17       20
    1115     1041
      11       10
      13       13
      37       40
       5        6
      21       21
     154      154
     255      221
      66       60
      33       36
     196      187
      12       11
     250      260
     104       90
    7335     6091
    1202      945
     138      128
      98      100
    7449     7233
      17       20
      36       36
     151      151
      20       20
    1915     1661
     327      325
     107      104
       7        7
      26       29
     948      846
      26       26
    6529     5095
      16       16
     125      131
    1187      746
      10       10
     309      309
       5        6
     112      109
      15       15
    5600     4543
      59       59
      17       17
      98      106
      81       79
    2872     2466
     324      304
     139      137
     148      151
     626      612
      45       45
    1087     1035
     546      559
      40       39
      55       54
    1247     1199
     323      297
     175      194
     177      155
      23       25
      62       66
     135      125
     310      289
     217      217
     268      294
      17       17
    7216     5645
      13       13
     255      252
      51       49
      40       40
    1091     1084
     709      677
      11       11
      84       85
     318      249
     216      204
      30       30
     128      133
    1193     1157
      17       17
    1424     1187
     168      173
     155      160
      14       14
      18       18
      14       13
     456      444
       9        9
      64       64
    1598     1597
      24       24
     213      222
       7        7
      32       32
      84       88
      15       15
       6        6
    5271     4762
      29       30
      46       47
     130      128
       8        9
    1456     1215
     160      161
      15       15
     193      206
      12       12
    2101     1225
      11       11
    1885     1638
     185      192
     171      173
    5359     4341
      37       37
      53       53
    4676     4645
     115      124
     265      254
      11       11
     156      156
      13       13
      22       22
    1291      863
     245      225
    7716     6319
      20       19
     983      919
      55       56
    8544     6384
      27       28
      17       17
    1231     1006
      55       66
     287      280
      11       11
    1181     1199
     309      309
    6410     5029
     155      157
     203      202
      45       46
     311      311
      10       10
       9        9
      11       11
      13       13
     735      573
      11       11
     113      118
      89       93
      26       21
   10308     7707
     181      145
      23       23
       7        7
      38       40
    1088     1083
    3644     2034
       9       11
      53       53
     341      325
     142      146
      11       12
     202      206
    1965     1911
      56       54
     717      668
    1383     1114
      10       10
     403      519
     123      121
      20       20
    1339     1287
      16       17
      15       17
      38       38
     286      281
      45       45
    1839     1423
     397      390
       8        8
    2805     2776
       8        8
     405      405
    9954     7233
      85       91
     280      241
     692      638
      16       16
      53       46
      23       24
      67       62
    1198     1112
    1653     1619
    1405     1360
      29       29
      26       25
      35       35
      13       13
      24       24
     365      379
      27       27
    1456     1215
       7        7
     538      549
    1052      940
     309      309
     174      180
      26       26
      10       10
      46       47
     324      324
    1077      806
     453      455
     168      154
       8        8
    6640     4603
     526      536
     112      142
     850      772
      29       29
    4093     3355
       9        9
      16       16
      32       32
     178      160
     389      398
      11       11
      34       39
     367      383
       9        9
      31       31
     631      542
    1950     1777
      71       71
     168      188
      36       35
      63       63
    4826     4078
    3763     3511
      21       21
     177      155
     273      257
     296      271
     145      148
      52       55
       7        7
      59       55
    1127     1144
       6        6
     121      112
   10491    10022
    3496     2752
     349      349
     289      280
     141      150
     154      154
     293      283
      38       42
     673      684
    2746     2470
    2489     2294
      21       23
      12       12
      45       44
      10       10
      36       34
    1444     1357
     116      135
      20       20
     220      196
    2772     2764
      31       31
    6945     6867
    3124     3124
      73       68
      29       31
      83       85
    3010     2685
     162      156
     246      240
     117      124
     156      158
      42       45
    6587     5404
     619      638
      32       30
      51       51
      13       13
    1182     1172
    1829     1776
     197      172
      10       10
     834      745
      81       91
     437      350
     710      640
     209      203
     225      209
     622      498
      16       16
      21       21
      34       35
     133      135
      15       15
      66       72
      84       84
      80       79
      33       32
     165      159
      13       13
     149      137
      37       34
      28       28
      13       13
      50       50
     336      367
     130      131
     650      632
