seed;p;dMax;availables;plain;jump;gain;contour;plateau;qEst;qHat;sHat;pHit;fromzero;fzSAG;fzPur;randomly;rdSAG;rdPur;cleverly;clSAG;clPur;greedyIG;grSAG;grPur;bForceIG;bfSAG;bfPur
4858;2;   6;        18; skew;   2;   1;      2;      1;   0;   0;  13;72.2;      13;    0; pure;      11;    0;  imp;      13;    0; pure;      13;    0; pure;      13;    0; pure
4861;3;   8;        16; skew;   3;   5;      2;      3;   0;   0;   9;56.3;      11;    0;  imp;      11;    0;  imp;      10;    0;  imp;      11;    0;  imp;      11;    0;  imp
4862;5;   5;      2800; skew;   4;   0;      5;      2;   1;   1;1139;40.7;     673;    1;  imp;     613;    1;  imp;    1139;    1; pure;    1139;    1; pure;       ?;    ?;    ?
4863;2;   9;        60; skew;   5;   0;      1;      2;   0;   0;  48;80.0;      37;    0;  imp;      40;    0;  imp;      48;    0; pure;      48;    0; pure;      48;    0; pure
4864;5;   5;      1566; skew;   3;   2;      2;      2;   1;   1; 623;39.8;     496;    1;  imp;     388;    1;  imp;     623;    1; pure;     615;    1;  imp;       ?;    ?;    ?
4865;2;   7;        49;plain;  11;   0;      2;      2;   0;   0;  36;73.5;      36;    0; pure;      31;    0;  imp;      36;    0; pure;      36;    0; pure;      36;    0; pure
4866;4;   4;       256;plain;  11;   0;      4;      4;   1;   1; 108;42.2;      54;    2; pure;      53;    1;  imp;     108;    1; pure;     108;    1; pure;       ?;    ?;    ?
4869;4;   7;       774; skew;   5;   5;      3;      3;   0;   0; 358;46.3;      43;    2;  imp;     151;    1;  imp;     441;    0;  imp;     438;    0;  imp;       ?;    ?;    ?
4871;3;   8;       360; skew;   6;   3;      3;      3;   0;   0; 238;66.1;     226;    0;  imp;     180;    0;  imp;     238;    0; pure;     202;    0;  imp;       ?;    ?;    ?
4876;5;   5;       120; skew;   4;   1;      1;      1;   1;   1;  45;37.5;      86;    1;  imp;      89;    1;  imp;      89;    1;  imp;      89;    1;  imp;       ?;    ?;    ?
4877;3;   7;       190; skew;   5;   0;      1;      3;   0;   0; 126;66.3;     126;    0; pure;     112;    0;  imp;     126;    0; pure;     126;    0; pure;       ?;    ?;    ?
4879;2;   8;        64;plain;  11;   0;      2;      2;   0;   0;  49;76.6;      49;    0; pure;      43;    0;  imp;      49;    0; pure;      49;    0; pure;       ?;    ?;    ?
4883;4;   8;      3630; skew;   6;   0;      3;      2;   0;   0;2114;58.2;    1175;    1;  imp;     999;    0;  imp;    2114;    0; pure;    1136;    1;  imp;       ?;    ?;    ?
4884;4;   5;        34; skew;   2;   2;      1;      1;   1;   0;  17;50.0;      22;    0;  imp;      22;    0;  imp;      22;    0;  imp;      22;    0;  imp;      22;    0;  imp
4888;6;   5;     10454; skew;   3;   2;      6;      4;   1;   1;4051;38.8;    3087;    1;  imp;    2361;    1;  imp;    4051;    1; pure;    3077;    1;  imp;       ?;    ?;    ?
4889;4;   9;      6561;plain;  11;   0;      4;      4;   0;   0;4096;62.4;    4096;    0; pure;    2377;    0;  imp;    4096;    0; pure;    2048;    1; pure;       ?;    ?;    ?
4890;5;   4;      1024;plain;  11;   0;      5;      5;   1;   1; 405;39.6;     243;    0; pure;     203;    0;  imp;     405;    1; pure;     405;    1; pure;       ?;    ?;    ?
4895;5;   8;       328; skew;   3;   6;      1;      5;   0;   0; 188;57.3;     197;    0;  imp;     199;    0;  imp;     205;    0;  imp;     217;    0;  imp;       ?;    ?;    ?
4896;4;   9;      1944; skew;   8;   6;      1;      3;   0;   0;1192;61.3;     906;    0;  imp;     886;    0;  imp;    1216;    0;  imp;    1129;    0;  imp;       ?;    ?;    ?
4897;2;   6;        18; skew;   2;   0;      2;      1;   0;   0;  13;72.2;      10;    0;  imp;      11;    0;  imp;      13;    0; pure;      13;    0; pure;      13;    0; pure
4898;3;   3;        27;plain;  11;   0;      3;      3;   1;   1;  12;44.4;       8;    0; pure;       8;    1;  imp;      12;    1; pure;      12;    1; pure;      12;    1; pure
4901;4;   6;       690; skew;   5;   4;      4;      3;   0;   0; 319;46.2;     273;    1;  imp;     239;    1;  imp;     341;    0;  imp;     290;    1;  imp;       ?;    ?;    ?
4902;5;   3;        48; skew;   2;   0;      4;      1;   2;   1;  13;27.1;      13;    0;  imp;       8;    0;  imp;      17;    1;  imp;      18;    1;  imp;      18;    1;  imp
4903;3;   5;        28; skew;   2;   1;      1;      1;   0;   0;  12;42.9;      12;    0;  imp;      15;    0;  imp;      17;    0;  imp;      17;    0;  imp;      17;    0;  imp
4904;3;   9;       310; skew;   6;   4;      1;      3;   0;   0; 215;69.4;     190;    0;  imp;     178;    0;  imp;     215;    0; pure;     207;    0;  imp;       ?;    ?;    ?
4907;5;   5;      2430; skew;   4;   3;      3;      4;   1;   1;1021;42.0;     819;    1;  imp;     639;    1;  imp;    1021;    1; pure;    1021;    1;  imp;       ?;    ?;    ?
4908;5;   9;      2364; skew;   6;   8;      5;      1;   0;   0;1511;63.9;    1816;    0;  imp;    1604;    0;  imp;    1791;    0;  imp;    1786;    0;  imp;       ?;    ?;    ?
4913;5;   7;       996; skew;   4;   6;      4;      3;   0;   0; 561;56.3;     516;    0;  imp;     461;    0;  imp;     639;    0;  imp;     574;    0;  imp;       ?;    ?;    ?
4914;6;   4;      2068; skew;   2;   2;      6;      6;   1;   1; 719;34.8;     150;    3;  imp;     190;    3;  imp;     719;    1; pure;     569;    2;  imp;       ?;    ?;    ?
4915;4;   8;      1366; skew;   3;   1;      4;      2;   0;   0; 724;53.0;     677;    0;  imp;     564;    0;  imp;     732;    0;  imp;     613;    0;  imp;       ?;    ?;    ?
4918;3;   4;        14; skew;   3;   3;      2;      1;   1;   0;   6;42.9;      10;    0;  imp;      10;    0;  imp;      10;    0;  imp;      10;    0;  imp;      10;    0;  imp
4920;6;   9;       918; skew;   2;   6;      4;      2;   0;   0; 364;39.7;     469;    0;  imp;     455;    0;  imp;     488;    0;  imp;     506;    0;  imp;       ?;    ?;    ?
4924;2;   9;        30; skew;   2;   1;      1;      1;   0;   0;  25;83.3;      21;    0;  imp;      23;    0;  imp;      25;    0; pure;      25;    0; pure;      25;    0; pure
4925;6;   6;        34; skew;   2;   1;      1;      1;   1;   0;  17;50.0;      31;    0;  imp;      31;    0;  imp;      31;    0;  imp;      31;    0;  imp;      31;    0;  imp
4927;5;   5;      3125;plain;  11;   0;      5;      5;   1;   1;1280;41.0;    1280;    1; pure;     872;    1;  imp;    1280;    1; pure;    1280;    1; pure;       ?;    ?;    ?
4931;6;   5;      3184; skew;   3;   2;      5;      1;   1;   1;1148;36.1;     884;    1;  imp;     811;    1;  imp;    1149;    1;  imp;    1082;    1;  imp;       ?;    ?;    ?
4933;4;   4;        12; skew;   2;   0;      1;      3;   1;   2;   4;33.3;      10;    2;  imp;      10;    2;  imp;      10;    2;  imp;      10;    2;  imp;      10;    2;  imp
4934;5;   8;      2768; skew;   2;   2;      4;      5;   0;   0;1493;53.9;    1573;    0;  imp;    1252;    0;  imp;    1529;    0;  imp;    1492;    0;  imp;       ?;    ?;    ?
4935;3;   5;       125;plain;  11;   0;      3;      3;   0;   0;  64;51.2;      64;    0; pure;      50;    0;  imp;      64;    0; pure;      64;    0; pure;       ?;    ?;    ?
4936;2;   6;        18; skew;   2;   0;      1;      2;   0;   0;  14;77.8;      14;    0; pure;      12;    0;  imp;      14;    0; pure;      14;    0; pure;      14;    0; pure
