seed;p;dMax;availables;plain;jump;gain;contour;plateau;qEst;qHat;sHat;pHit;fromzero;fzSAG;fzPur;randomly;rdSAG;rdPur;cleverly;clSAG;clPur;greedyIG;grSAG;grPur;bForceIG;bfSAG;bfPur
   3;3;   8;       512;plain;  11;   0;      3;      3;   0;   0; 343;67.0;     343;    0; pure;     277;    0;  imp;     343;    0; pure;     343;    0; pure;       ?;    ?;    ?
   4;3;   5;       125;plain;  11;   0;      3;      3;   0;   0;  64;51.2;      64;    0; pure;      45;    0;  imp;      64;    0; pure;      64;    0; pure;       ?;    ?;    ?
   8;5;   5;       116; skew;   1;   2;      4;      2;   1;   1;  40;34.5;      54;    1;  imp;      47;    0;  imp;      55;    1;  imp;      52;    1;  imp;       ?;    ?;    ?
  10;4;   4;        16; skew;   1;   0;      3;      1;   1;   0;   8;50.0;      10;    0;  imp;      10;    0;  imp;      11;    0;  imp;      11;    0;  imp;      11;    0;  imp
  13;5;   7;       720; skew;   5;   6;      1;      4;   0;   0; 341;47.4;     408;    0;  imp;     393;    0;  imp;     458;    0;  imp;     452;    0;  imp;       ?;    ?;    ?
  14;6;   4;      1816; skew;   2;   1;      3;      3;   1;   1; 637;35.1;     505;    1;  imp;     382;    1;  imp;     637;    1; pure;     512;    1;  imp;       ?;    ?;    ?
  15;4;   8;        12; skew;   3;   7;      2;      1;   0;   0;   6;50.0;       9;    0;  imp;       9;    0;  imp;       9;    0;  imp;       9;    0;  imp;       9;    0;  imp
  20;6;   5;     15625;plain;  11;   0;      6;      6;   1;   1;6144;39.3;    6144;    1; pure;    3577;    1;  imp;    6144;    1; pure;    6144;    1; pure;       ?;    ?;    ?
  22;5;   4;      1024;plain;  11;   0;      5;      5;   1;   1; 405;39.6;     243;    0; pure;     215;    1;  imp;     405;    1; pure;     405;    1; pure;       ?;    ?;    ?
  23;2;   8;        14; skew;   1;   1;      2;      1;   0;   0;  11;78.6;      11;    0;  imp;      11;    0;  imp;      11;    0; pure;      11;    0;  imp;      11;    0;  imp
  24;2;   5;        20; skew;   4;   0;      1;      1;   0;   0;  13;65.0;      13;    0; pure;      13;    0; pure;      13;    0; pure;      13;    0; pure;      13;    0; pure
  27;5;   8;      2392; skew;   3;   4;      2;      1;   0;   0;1046;43.7;    1075;    0;  imp;     998;    0;  imp;    1152;    0;  imp;    1148;    1;  imp;       ?;    ?;    ?
  28;4;   5;       625;plain;  11;   0;      4;      4;   1;   1; 256;41.0;     256;    0; pure;     192;    0;  imp;     256;    1; pure;     256;    1; pure;       ?;    ?;    ?
  29;2;   7;        30; skew;   6;   2;      1;      1;   0;   0;  23;76.7;      23;    0; pure;      23;    0; pure;      23;    0; pure;      23;    0; pure;      23;    0; pure
  30;3;   4;        60; skew;   3;   0;      3;      2;   1;   0;  26;43.3;      25;    0;  imp;      21;    0;  imp;      26;    0; pure;      21;    1;  imp;      26;    0; pure
  32;6;   9;        78; skew;   1;   4;      3;      5;   0;   0;  36;46.2;      58;    0;  imp;      57;    0;  imp;      60;    0;  imp;      60;    0;  imp;       ?;    ?;    ?
  33;4;   6;      1296;plain;  11;   0;      4;      4;   0;   0; 625;48.2;     500;    1; pure;     344;    1;  imp;     625;    0; pure;     500;    1; pure;       ?;    ?;    ?
  34;5;   3;       146; skew;   2;   2;      3;      2;   2;   1;  48;32.9;      37;    1;  imp;      36;    1;  imp;      48;    1; pure;      41;    2;  imp;       ?;    ?;    ?
  36;2;   9;        81;plain;  11;   0;      2;      2;   0;   0;  64;79.0;      64;    0; pure;      51;    0;  imp;      64;    0; pure;      64;    0; pure;       ?;    ?;    ?
  37;6;   6;       480; skew;   4;   2;      1;      3;   1;   0; 176;36.7;     377;    1;  imp;     353;    1;  imp;     366;    0;  imp;     381;    1;  imp;       ?;    ?;    ?
  45;4;   6;        62; skew;   2;   3;      1;      4;   0;   0;  27;43.5;      37;    0;  imp;      34;    0;  imp;      39;    0;  imp;      40;    0;  imp;      40;    0;  imp
  46;6;   8;       240; skew;   2;   4;      1;      2;   0;   0; 111;46.3;     146;    0;  imp;     162;    0;  imp;     168;    0;  imp;     168;    0;  imp;       ?;    ?;    ?
  47;3;   5;        30; skew;   1;   1;      3;      2;   0;   0;  13;43.3;      12;    0;  imp;      12;    0;  imp;      15;    0;  imp;      15;    1;  imp;      15;    0;  imp
  52;6;   9;      4870; skew;   5;   8;      1;      6;   0;   0;1980;40.7;    2622;    0;  imp;    2490;    0;  imp;    3117;    0;  imp;    3009;    0;  imp;       ?;    ?;    ?
  53;3;   6;        16; skew;   3;   4;      3;      2;   0;   0;  10;62.5;       9;    0;  imp;       9;    0;  imp;      10;    0; pure;      10;    0; pure;      10;    0; pure
  57;5;   6;      7776;plain;  11;   0;      5;      5;   1;   1;3125;40.2;    3125;    0; pure;    1706;    0;  imp;    3125;    1; pure;    3125;    1; pure;       ?;    ?;    ?
  59;4;   5;        84; skew;   3;   0;      1;      3;   1;   0;  41;48.8;      38;    0;  imp;      42;    0;  imp;      44;    0;  imp;      45;    0;  imp;       ?;    ?;    ?
  63;6;   5;      8162; skew;   4;   4;      5;      6;   1;   1;3120;38.2;    2296;    2;  imp;    1725;    1;  imp;    3168;    1;  imp;    2614;    1;  imp;       ?;    ?;    ?
  65;3;   4;        64;plain;  11;   0;      3;      3;   1;   1;  27;42.2;      27;    1; pure;      10;    2;  imp;      27;    1; pure;      27;    1; pure;       ?;    ?;    ?
  67;2;   5;        20; skew;   4;   1;      1;      2;   0;   0;  13;65.0;       7;    0;  imp;       7;    0;  imp;      13;    0; pure;      13;    0; pure;      13;    0; pure
  69;5;   3;        90; skew;   2;   1;      2;      2;   2;   1;  29;32.2;      16;    3;  imp;      17;    2;  imp;      29;    1; pure;      27;    1;  imp;       ?;    ?;    ?
  74;3;   7;       106; skew;   3;   2;      1;      1;   0;   0;  71;67.0;      37;    0;  imp;      34;    0;  imp;      71;    0; pure;      71;    0;  imp;       ?;    ?;    ?
  76;6;   6;       538; skew;   1;   2;      3;      6;   1;   1; 201;37.4;     214;    1;  imp;     220;    1;  imp;     243;    1;  imp;     241;    1;  imp;       ?;    ?;    ?
  78;5;   7;      6076; skew;   3;   1;      5;      4;   0;   0;2884;47.5;     897;    2;  imp;    1466;    1;  imp;    2893;    0;  imp;    2464;    1;  imp;       ?;    ?;    ?
  79;3;   9;       166; skew;   3;   0;      1;      3;   0;   0; 112;67.5;     110;    0;  imp;     100;    0;  imp;     113;    0;  imp;     111;    0;  imp;       ?;    ?;    ?
  80;3;   9;       352; skew;   5;   0;      1;      3;   0;   0; 245;69.6;     163;    0;  imp;     172;    0;  imp;     245;    0; pure;     245;    0; pure;       ?;    ?;    ?
  81;6;   4;      3198; skew;   3;   2;      5;      2;   1;   1;1104;34.5;     894;    1;  imp;     661;    1;  imp;    1104;    1; pure;     855;    2;  imp;       ?;    ?;    ?
  82;2;   8;        64;plain;  11;   0;      2;      2;   0;   0;  49;76.6;      49;    0; pure;      43;    0;  imp;      49;    0; pure;      49;    0; pure;       ?;    ?;    ?
  83;5;   5;       136; skew;   2;   4;      3;      3;   1;   1;  47;34.6;      57;    0;  imp;      58;    0;  imp;      53;    1;  imp;      66;    0;  imp;       ?;    ?;    ?
  84;5;   9;     14682; skew;   4;   4;      2;      5;   0;   0;7217;49.2;    6488;    0;  imp;    4409;    0;  imp;    7265;    0;  imp;    5645;    1;  imp;       ?;    ?;    ?
  86;4;   8;      3116; skew;   5;   1;      3;      3;   0;   0;1818;58.3;    1818;    0; pure;    1061;    0;  imp;    1818;    0; pure;    1078;    1;  imp;       ?;    ?;    ?
  87;2;   5;        18; skew;   3;   1;      1;      1;   0;   0;  12;66.7;       9;    0;  imp;      10;    0;  imp;      12;    0; pure;      12;    0; pure;      12;    0; pure
  89;5;   4;       144; skew;   1;   0;      3;      3;   1;   2;  48;33.3;      42;    2;  imp;      43;    1;  imp;      51;    2;  imp;      53;    2;  imp;       ?;    ?;    ?
  92;4;   9;       656; skew;   3;   4;      4;      2;   0;   0; 378;57.6;     347;    0;  imp;     324;    0;  imp;     397;    0;  imp;     389;    0;  imp;       ?;    ?;    ?
  96;5;   6;        40; skew;   1;   3;      4;      2;   1;   0;  18;45.0;      23;    0;  imp;      22;    0;  imp;      25;    0;  imp;      25;    0;  imp;      25;    0;  imp
  98;4;   5;       625;plain;  11;   0;      4;      4;   1;   1; 256;41.0;     256;    1; pure;     167;    1;  imp;     256;    1; pure;     256;    1; pure;       ?;    ?;    ?
  99;2;   9;        36; skew;   6;   3;      1;      2;   0;   0;  29;80.6;      27;    0;  imp;      29;    0; pure;      29;    0; pure;      29;    0; pure;      29;    0; pure
 101;5;   8;      2392; skew;   4;   1;      1;      5;   0;   0;1209;50.5;    1206;    0;  imp;    1080;    0;  imp;    1256;    0;  imp;    1209;    0;  imp;       ?;    ?;    ?
 102;6;   5;      5120; skew;   4;   0;      3;      1;   1;   1;1875;36.6;    1567;    1;  imp;    1266;    1;  imp;    1899;    1;  imp;    1630;    1;  imp;       ?;    ?;    ?
 103;4;   9;      2098; skew;   5;   5;      2;      4;   0;   0;1264;60.2;    1156;    0;  imp;     961;    0;  imp;    1337;    0;  imp;    1165;    0;  imp;       ?;    ?;    ?
 104;4;   6;      1296;plain;   5;   0;      4;      4;   0;   0; 625;48.2;     625;    0; pure;     388;    0;  imp;     625;    0; pure;     500;    1; pure;       ?;    ?;    ?
 106;3;   5;       125;plain;  11;   0;      3;      3;   0;   0;  64;51.2;      48;    1; pure;      32;    1;  imp;      64;    0; pure;      48;    1; pure;       ?;    ?;    ?
 109;3;   8;       114; skew;   7;   6;      2;      3;   0;   0;  73;64.0;      77;    0;  imp;      74;    0;  imp;      77;    0;  imp;      77;    0;  imp;       ?;    ?;    ?
 110;5;   5;       116; skew;   1;   2;      5;      2;   1;   0;  43;37.1;      46;    0;  imp;      40;    0;  imp;      55;    0;  imp;      59;    0;  imp;       ?;    ?;    ?
 113;6;   3;       729;plain;  11;   0;      6;      6;   2;   2; 240;32.9;      64;    0; pure;     102;    1;  imp;     240;    2; pure;     240;    2; pure;       ?;    ?;    ?
 115;5;   9;       222; skew;   2;   5;      2;      1;   0;   0; 130;58.6;     151;    0;  imp;     147;    0;  imp;     152;    0;  imp;     156;    0;  imp;       ?;    ?;    ?
 116;5;   6;       720; skew;   5;   3;      1;      4;   1;   0; 309;42.9;     295;    0;  imp;     263;    0;  imp;     309;    0; pure;     309;    1;  imp;       ?;    ?;    ?
 118;4;   7;       202; skew;   2;   3;      4;      3;   0;   0;  98;48.5;     111;    0;  imp;     104;    0;  imp;     115;    0;  imp;     112;    0;  imp;       ?;    ?;    ?
 122;6;   7;     10280; skew;   2;   1;      6;      5;   1;   1;4211;41.0;    3720;    1;  imp;    3028;    1;  imp;    4262;    1;  imp;    4078;    1;  imp;       ?;    ?;    ?
 123;3;   9;       504; skew;   8;   3;      3;      1;   0;   0; 354;70.2;     334;    0;  imp;     209;    0;  imp;     354;    0; pure;     346;    0;  imp;       ?;    ?;    ?
 128;2;   4;        16;plain;  11;   0;      2;      2;   0;   0;   9;56.3;       9;    0; pure;       7;    0;  imp;       9;    0; pure;       9;    0; pure;       9;    0; pure
 129;6;   8;     16560; skew;   6;   1;      1;      4;   0;   0;7756;46.8;    6752;    0;  imp;    6152;    0;  imp;    7756;    0; pure;    6844;    0;  imp;       ?;    ?;    ?
 131;5;   7;        22; skew;   1;   3;      3;      1;   0;   0;  11;50.0;      16;    0;  imp;      16;    0;  imp;      16;    0;  imp;      16;    0;  imp;      16;    0;  imp
 134;3;   5;        60; skew;   4;   3;      3;      3;   0;   0;  30;50.0;      26;    1;  imp;      26;    1;  imp;      31;    0;  imp;      34;    0;  imp;      34;    0;  imp
 138;5;   3;        20; skew;   1;   1;      2;      5;   2;   3;   5;25.0;       8;    3;  imp;       8;    3;  imp;       8;    3;  imp;      10;    3;  imp;      10;    3;  imp
 140;3;   4;        16; skew;   2;   1;      1;      3;   1;   0;   9;56.3;       9;    0;  imp;       9;    0;  imp;       9;    0; pure;      10;    0;  imp;      10;    0;  imp
 143;5;   7;     16807;plain;  11;   0;      5;      5;   0;   0;7776;46.3;    7776;    0; pure;    4176;    0;  imp;    7776;    0; pure;    6480;    1; pure;       ?;    ?;    ?
 144;5;   5;      2214; skew;   3;   0;      3;      4;   1;   1; 929;42.0;     675;    1;  imp;     498;    1;  imp;     929;    1; pure;     875;    1;  imp;       ?;    ?;    ?
 145;3;   9;        14; skew;   1;   1;      1;      3;   0;   0;  11;78.6;      13;    0;  imp;      13;    0;  imp;      13;    0;  imp;      13;    0;  imp;      13;    0;  imp
 146;4;   6;      1296;plain;  11;   0;      4;      4;   0;   0; 625;48.2;     625;    0; pure;     359;    0;  imp;     625;    0; pure;     500;    1; pure;       ?;    ?;    ?
 148;2;   5;        12; skew;   4;   2;      2;      1;   0;   0;   8;66.7;       8;    0; pure;       8;    0; pure;       8;    0; pure;       8;    0;  imp;       8;    0;  imp
 150;6;   6;       186; skew;   1;   3;      3;      3;   1;   0;  73;39.2;      79;    0;  imp;      93;    0;  imp;      97;    0;  imp;     102;    0;  imp;       ?;    ?;    ?
 151;4;   3;        24; skew;   2;   0;      4;      1;   1;   1;   7;29.2;       9;    0;  imp;       9;    0;  imp;       9;    1;  imp;       9;    1;  imp;       9;    1;  imp
 152;4;   5;       625;plain;  11;   0;      4;      4;   1;   1; 256;41.0;     256;    0; pure;     173;    0;  imp;     256;    1; pure;     256;    1; pure;       ?;    ?;    ?
 154;3;   6;       216;plain;  11;   0;      3;      3;   0;   0; 125;57.9;     125;    0; pure;      93;    0;  imp;     125;    0; pure;     125;    0; pure;       ?;    ?;    ?
 155;6;   3;        12; skew;   1;   2;      3;      1;   2;   0;   6;50.0;       8;    0;  imp;       8;    0;  imp;       8;    0;  imp;       8;    0;  imp;       8;    0;  imp
 158;5;   6;      3720; skew;   4;   4;      4;      4;   1;   1;1487;40.0;    1042;    1;  imp;     866;    1;  imp;    1487;    1; pure;    1487;    1;  imp;       ?;    ?;    ?
 163;4;   7;       142; skew;   1;   1;      4;      3;   0;   0;  84;59.2;      85;    0;  imp;      79;    0;  imp;      87;    0;  imp;      90;    0;  imp;       ?;    ?;    ?
 169;4;   6;       144; skew;   5;   5;      1;      2;   0;   0;  67;46.5;      83;    1;  imp;      86;    1;  imp;     103;    0;  imp;     107;    0;  imp;       ?;    ?;    ?
 171;3;   7;        78; skew;   6;   5;      1;      3;   0;   0;  44;56.4;      51;    0;  imp;      44;    0;  imp;      54;    0;  imp;      54;    0;  imp;       ?;    ?;    ?
 173;6;   6;      1486; skew;   2;   3;      6;      1;   1;   1; 532;35.8;     649;    0;  imp;     601;    0;  imp;     646;    1;  imp;     690;    1;  imp;       ?;    ?;    ?
 176;5;   4;       420; skew;   3;   3;      2;      2;   1;   1; 153;36.4;     116;    1;  imp;     109;    1;  imp;     165;    1;  imp;     134;    1;  imp;       ?;    ?;    ?
 177;2;   8;        36; skew;   5;   2;      2;      2;   0;   0;  28;77.8;      26;    0;  imp;      21;    0;  imp;      28;    0; pure;      28;    0; pure;      28;    0; pure
 178;4;   3;        22; skew;   1;   1;      2;      2;   1;   1;   9;40.9;      10;    1;  imp;       9;    1;  imp;      10;    1;  imp;      10;    1;  imp;      10;    1;  imp
 181;5;   6;      7776;plain;  11;   0;      5;      5;   1;   1;3125;40.2;    1250;    2; pure;    1264;    1;  imp;    3125;    1; pure;    3125;    1; pure;       ?;    ?;    ?
 183;4;   7;      2401;plain;  11;   0;      4;      4;   0;   0;1296;54.0;    1296;    0; pure;     769;    0;  imp;    1296;    0; pure;     864;    1; pure;       ?;    ?;    ?
 184;3;   4;        22; skew;   1;   1;      3;      2;   1;   0;  10;45.5;      10;    0; pure;      10;    0;  imp;      10;    0; pure;      11;    1;  imp;      11;    0;  imp
 188;6;   4;       276; skew;   1;   2;      4;      4;   1;   2;  82;29.7;      72;    2;  imp;      63;    2;  imp;      84;    2;  imp;      85;    2;  imp;       ?;    ?;    ?
 189;3;   6;       216;plain;  11;   0;      3;      3;   0;   0; 125;57.9;      75;    1; pure;      62;    1;  imp;     125;    0; pure;     125;    0; pure;       ?;    ?;    ?
 194;6;   7;        46; skew;   1;   4;      6;      4;   1;   0;  22;47.8;      29;    0;  imp;      28;    0;  imp;      30;    0;  imp;      30;    0;  imp;      30;    0;  imp
 195;4;   4;        12; skew;   2;   2;      1;      3;   1;   0;   6;50.0;       8;    0;  imp;       8;    0;  imp;       8;    0;  imp;       9;    0;  imp;       9;    0;  imp
 196;4;   8;      1916; skew;   4;   3;      3;      3;   0;   0;1145;59.8;    1014;    0;  imp;     612;    0;  imp;    1145;    0; pure;     911;    0;  imp;       ?;    ?;    ?
 198;2;   7;        49;plain;  11;   0;      2;      2;   0;   0;  36;73.5;      36;    0; pure;      31;    0;  imp;      36;    0; pure;      36;    0; pure;      36;    0; pure
 199;6;   4;       852; skew;   2;   3;      6;      3;   1;   1; 304;35.7;     235;    1;  imp;     213;    1;  imp;     308;    1;  imp;     295;    1;  imp;       ?;    ?;    ?
 203;2;   4;        16;plain;   3;   0;      2;      2;   0;   0;   9;56.3;       6;    1; pure;       5;    0;  imp;       9;    0; pure;       9;    0; pure;       9;    0; pure
 205;5;   3;       243;plain;  11;   0;      5;      5;   2;   2;  80;32.9;      80;    2; pure;      59;    2;  imp;      80;    2; pure;      80;    2; pure;       ?;    ?;    ?
 209;2;   5;        12; skew;   4;   2;      2;      2;   0;   0;   8;66.7;       8;    0; pure;       8;    0; pure;       8;    0; pure;       8;    0;  imp;       8;    0;  imp
 210;3;   3;        12; skew;   2;   0;      3;      1;   1;   1;   5;41.7;       5;    1; pure;       5;    1;  imp;       5;    1; pure;       5;    0;  imp;       5;    0;  imp
 215;3;   4;        64;plain;  11;   0;      3;      3;   1;   1;  27;42.2;       9;    2; pure;       8;    2;  imp;      27;    1; pure;      27;    1; pure;       ?;    ?;    ?
 216;3;   8;       260; skew;   7;   4;      3;      1;   0;   0; 175;67.3;     160;    0;  imp;     124;    0;  imp;     175;    0; pure;     173;    0;  imp;       ?;    ?;    ?
 217;6;   5;       530; skew;   2;   4;      2;      4;   1;   1; 164;30.9;     193;    1;  imp;     170;    1;  imp;     218;    1;  imp;     234;    1;  imp;       ?;    ?;    ?
 221;3;   5;        48; skew;   3;   1;      1;      2;   0;   0;  26;54.2;      15;    1;  imp;      20;    0;  imp;      26;    0; pure;      26;    0;  imp;      26;    0;  imp
 222;4;   9;      6561;plain;  11;   0;      4;      4;   0;   0;4096;62.4;    2048;    1; pure;    1661;    0;  imp;    4096;    0; pure;    4096;    0; pure;       ?;    ?;    ?
 225;4;   9;      3976; skew;   7;   5;      4;      2;   0;   0;2430;61.1;    1704;    0;  imp;    1403;    0;  imp;    2430;    0; pure;    1979;    0;  imp;       ?;    ?;    ?
 227;3;   4;        64;plain;  11;   0;      3;      3;   1;   1;  27;42.2;      27;    0; pure;      21;    0;  imp;      27;    1; pure;      27;    1; pure;       ?;    ?;    ?
 230;2;   6;        36;plain;  11;   0;      2;      2;   0;   0;  25;69.4;      25;    0; pure;      25;    0; pure;      25;    0; pure;      25;    0; pure;      25;    0; pure
 231;6;   8;      2892; skew;   2;   0;      2;      1;   0;   0;1209;41.8;    1405;    0;  imp;    1248;    0;  imp;    1451;    0;  imp;    1515;    0;  imp;       ?;    ?;    ?
 232;5;   5;      1086; skew;   2;   1;      3;      3;   1;   1; 458;42.2;     325;    1;  imp;     259;    1;  imp;     458;    1; pure;     426;    1;  imp;       ?;    ?;    ?
 233;3;   9;       124; skew;   3;   3;      1;      2;   0;   0;  94;75.8;      96;    0;  imp;      95;    0;  imp;      96;    0;  imp;      96;    0;  imp;       ?;    ?;    ?
 234;4;   6;       344; skew;   4;   4;      2;      1;   0;   0; 182;52.9;     186;    0;  imp;     168;    0;  imp;     194;    0;  imp;     188;    0;  imp;       ?;    ?;    ?
 235;2;   8;        18; skew;   4;   3;      1;      2;   0;   0;  15;83.3;      15;    0;  imp;      15;    0; pure;      15;    0; pure;      15;    0;  imp;      15;    0;  imp
 236;2;   5;        23; skew;   3;   0;      2;      2;   0;   0;  15;65.2;       7;    1; pure;       7;    1;  imp;      15;    0; pure;      15;    0; pure;      15;    0; pure
 239;4;   8;      1092; skew;   6;   5;      1;      1;   0;   0; 667;61.1;     537;    0;  imp;     476;    0;  imp;     671;    0;  imp;     634;    0;  imp;       ?;    ?;    ?
 240;4;   8;      4096;plain;  11;   0;      4;      4;   0;   0;2401;58.6;    2401;    0; pure;    1336;    0;  imp;    2401;    0; pure;    1372;    1; pure;       ?;    ?;    ?
 244;6;   8;      4988; skew;   2;   4;      6;      4;   0;   0;2416;48.4;    2739;    0;  imp;    2368;    0;  imp;    2771;    0;  imp;    2788;    0;  imp;       ?;    ?;    ?
 245;4;   3;        81;plain;  11;   0;      4;      4;   1;   1;  32;39.5;      32;    1; pure;      26;    1;  imp;      32;    1; pure;      32;    1; pure;       ?;    ?;    ?
 248;3;   6;       158; skew;   4;   2;      2;      2;   0;   0;  89;56.3;      88;    0;  imp;      84;    0;  imp;      89;    0; pure;      68;    0;  imp;       ?;    ?;    ?
 249;6;   3;       440; skew;   2;   2;      6;      2;   2;   2; 130;29.5;      85;    1;  imp;      73;    1;  imp;     130;    2; pure;     128;    2;  imp;       ?;    ?;    ?
 251;5;   4;      1024;plain;  11;   0;      5;      5;   1;   1; 405;39.6;     270;    2; pure;     175;    2;  imp;     405;    1; pure;     405;    1; pure;       ?;    ?;    ?
 252;5;   6;       256; skew;   3;   4;      1;      5;   1;   0; 120;46.9;     145;    0;  imp;     141;    0;  imp;     157;    0;  imp;     159;    0;  imp;       ?;    ?;    ?
 254;4;   7;      2060; skew;   6;   3;      3;      4;   0;   0;1109;53.8;     741;    1;  imp;     588;    1;  imp;    1109;    0; pure;     756;    1;  imp;       ?;    ?;    ?
 258;3;   5;        42; skew;   4;   3;      1;      2;   0;   0;  23;54.8;      18;    1;  imp;      19;    0;  imp;      24;    0;  imp;      25;    0;  imp;      25;    0;  imp
 260;6;   4;      4096;plain;  11;   0;      6;      6;   1;   1;1458;35.6;    1215;    2; pure;     737;    2;  imp;    1458;    1; pure;    1215;    2; pure;       ?;    ?;    ?
 261;3;   8;       226; skew;   4;   3;      3;      3;   0;   0; 155;68.6;     155;    0;  imp;     138;    0;  imp;     155;    0; pure;     150;    0;  imp;       ?;    ?;    ?
 262;5;   5;      1156; skew;   2;   0;      4;      5;   1;   1; 460;39.8;     303;    0;  imp;     263;    1;  imp;     461;    1;  imp;     412;    1;  imp;       ?;    ?;    ?
 263;2;   9;        72; skew;   8;   1;      1;      2;   0;   0;  57;79.2;      57;    0; pure;      51;    0;  imp;      57;    0; pure;      57;    0; pure;       ?;    ?;    ?
 264;2;   4;        16;plain;   3;   0;      2;      2;   0;   0;   9;56.3;       6;    1; pure;       6;    0;  imp;       9;    0; pure;       9;    0; pure;       9;    0; pure
 268;4;   4;       256;plain;  11;   0;      4;      4;   1;   1; 108;42.2;     108;    1; pure;      77;    1;  imp;     108;    1; pure;     108;    1; pure;       ?;    ?;    ?
 269;2;   8;        56; skew;   7;   0;      2;      1;   0;   0;  43;76.8;      38;    0;  imp;      38;    0;  imp;      43;    0; pure;      43;    0; pure;      43;    0; pure
 270;3;   5;        96; skew;   4;   2;      3;      2;   0;   0;  49;51.0;      46;    0;  imp;      38;    0;  imp;      49;    0; pure;      40;    0;  imp;       ?;    ?;    ?
 274;6;   5;     13520; skew;   4;   1;      5;      2;   1;   1;5192;38.4;    4615;    1;  imp;    2885;    1;  imp;    5192;    1; pure;    4504;    1;  imp;       ?;    ?;    ?
 275;3;   9;       729;plain;  11;   0;      3;      3;   0;   0; 512;70.2;     512;    0; pure;     411;    0;  imp;     512;    0; pure;     512;    0; pure;       ?;    ?;    ?
 276;3;   6;        24; skew;   5;   5;      1;      2;   0;   0;  11;45.8;      20;    1;  imp;      20;    1;  imp;      19;    0;  imp;      20;    1;  imp;      20;    1;  imp
 278;2;   5;        25;plain;  11;   0;      2;      2;   0;   0;  16;64.0;      16;    0; pure;      16;    0; pure;      16;    0; pure;      16;    0; pure;      16;    0; pure
 279;6;   9;      4126; skew;   2;   3;      4;      1;   0;   0;2006;48.6;    1287;    0;  imp;    1351;    0;  imp;    2372;    0;  imp;    2422;    0;  imp;       ?;    ?;    ?
 280;5;   6;      1408; skew;   2;   2;      3;      2;   1;   1; 534;37.9;     537;    0;  imp;     421;    0;  imp;     544;    1;  imp;     560;    1;  imp;       ?;    ?;    ?
 281;3;   8;       168; skew;   7;   5;      1;      1;   0;   0; 117;69.6;      98;    0;  imp;     105;    0;  imp;     117;    0; pure;     111;    0;  imp;       ?;    ?;    ?
 282;4;   5;        74; skew;   1;   1;      4;      2;   1;   0;  30;40.5;      38;    0;  imp;      36;    0;  imp;      38;    0;  imp;      36;    0;  imp;       ?;    ?;    ?
 284;2;   6;        36;plain;  11;   0;      2;      2;   0;   0;  25;69.4;      10;    1; pure;       9;    1;  imp;      25;    0; pure;      25;    0; pure;      25;    0; pure
 286;6;   5;     15625;plain;  11;   0;      6;      6;   1;   1;6144;39.3;    4096;    0; pure;    2761;    1;  imp;    6144;    1; pure;    6144;    1; pure;       ?;    ?;    ?
 288;3;   3;        24; skew;   2;   1;      3;      3;   1;   1;  11;45.8;       8;    1;  imp;       8;    1;  imp;      11;    1; pure;      11;    1; pure;      11;    1; pure
 290;2;   9;        36; skew;   4;   2;      2;      2;   0;   0;  27;75.0;      24;    0;  imp;      21;    0;  imp;      27;    0; pure;      27;    0; pure;      27;    0; pure
 292;6;   3;        90; skew;   2;   0;      2;      2;   2;   2;  27;30.0;      45;    1;  imp;      45;    1;  imp;      53;    2;  imp;      53;    2;  imp;       ?;    ?;    ?
 294;4;   9;       656; skew;   3;   4;      4;      4;   0;   0; 414;63.1;     398;    0;  imp;     373;    0;  imp;     429;    0;  imp;     409;    0;  imp;       ?;    ?;    ?
 295;2;   6;        34; skew;   4;   0;      2;      2;   0;   0;  24;70.6;      24;    0; pure;      24;    0; pure;      24;    0; pure;      24;    0; pure;      24;    0; pure
 297;5;   7;     16807;plain;  11;   0;      5;      5;   0;   0;7776;46.3;    7776;    0; pure;    3960;    0;  imp;    7776;    0; pure;    6480;    1; pure;       ?;    ?;    ?
 299;4;   6;        50; skew;   3;   5;      3;      4;   0;   0;  24;48.0;      26;    0;  imp;      25;    0;  imp;      30;    0;  imp;      32;    0;  imp;      32;    0;  imp
 300;4;   3;        81;plain;  11;   0;      4;      4;   1;   1;  32;39.5;      32;    1; pure;      14;    2;  imp;      32;    1; pure;      32;    1; pure;       ?;    ?;    ?
 303;6;   6;      5956; skew;   2;   1;      6;      2;   1;   1;2485;41.7;    2060;    1;  imp;    1589;    1;  imp;    2489;    1;  imp;    2354;    1;  imp;       ?;    ?;    ?
 305;4;   8;        70; skew;   1;   2;      3;      3;   0;   0;  41;58.6;      45;    0;  imp;      52;    0;  imp;      52;    0;  imp;      52;    0;  imp;       ?;    ?;    ?
 306;5;   5;        86; skew;   1;   0;      2;      5;   1;   1;  33;38.4;      20;    1;  imp;      35;    1;  imp;      53;    1;  imp;      53;    0;  imp;       ?;    ?;    ?
 307;3;   9;       729;plain;  11;   0;      3;      3;   0;   0; 512;70.2;     512;    0; pure;     407;    0;  imp;     512;    0; pure;     512;    0; pure;       ?;    ?;    ?
 308;3;   4;        16; skew;   2;   0;      1;      1;   1;   0;   7;43.8;       9;    0;  imp;       9;    0;  imp;       9;    0;  imp;       9;    0;  imp;       9;    0;  imp
 309;6;   8;      1988; skew;   2;   4;      6;      1;   0;   0; 773;38.9;     869;    0;  imp;     864;    0;  imp;    1031;    0;  imp;    1073;    0;  imp;       ?;    ?;    ?
