      11       11
       9        9
      11       11
      13       13
      23       23
      26       26
      39       40
      15       15
      10       10
      13       13
      12       12
      25       25
      29       29
      16       16
      31       34
       8       10
       9       10
      13       13
       8        8
       9        9
       8        8
      28       28
      10       10
      10       11
      30       30
       8        9
       8        8
       5        5
      26       26
      15       15
      15       15
      24       25
      43       43
      19       20
      11       11
      27       27
      24       24
      30       32
       9        9
      26       26
      13       13
      19       19
       6        6
      17       17
       9        9
       9        9
       7        7
      16       16
      29       29
       7        7
      29       29
      11       11
      24       24
       7        7
      13       13
      17       17
      20       20
      19       19
      12       12
      11       11
      32       32
       7        7
      28       33
      11       11
      16       16
      28       28
      30       30
      11       11
      16       16
      12       14
      15       15
      32       32
      25       25
       9        9
      10       10
      21       21
       7        7
      42       42
       9        9
       9        9
      32       32
      48       48
      17       18
      21       21
      12       12
       5        5
      41       41
      17       17
      14       15
       7        7
       7        7
      18       18
       6        6
      17       17
       9       10
      12       12
      13       14
      11       11
      14       14
      32       32
      12       12
      11       11
      20       20
      10       10
      16       16
      11       11
      11       11
      14       14
       7        7
       9        9
      13       13
      13       13
      23       23
      12       12
      41       42
       6        6
      16       18
      26       26
      12       12
       7        7
      13       15
      21       21
      23       23
      17       20
       5        5
       9        9
      13       16
      44       44
      26       26
       8       11
      23       23
      11       11
      43       43
       7        7
      20       21
      15       15
      20       20
      13       13
      14       16
       9        9
      21       25
      16       17
      25       25
       8        9
      18       19
       7        7
      24       24
      11       11
      11       12
      27       27
      19       19
       8       11
      12       12
      18       19
       7        7
      11       12
       9        9
      14       15
      26       26
      40       40
      19       20
      19       19
      16       16
      17       17
      19       19
      30       31
      18       18
      14       14
      21       21
      10       10
      31       31
      16       16
      11       11
       5        6
      13       14
      14       14
       9       14
      11       11
      18       18
      18       18
      24       24
      16       16
      39       40
       9       10
      14       14
      31       33
      15       16
      15       15
      35       35
      13       14
      15       16
      21       21
      29       29
      10       10
      11       11
      11       12
      25       25
       7        7
      41       41
      11       11
      26       27
       7        7
      13       14
       6        6
      11       11
      13       13
       7        7
      34       34
      11       12
      17       17
      18       21
      31       31
      14       16
      22       25
       7        7
      44       44
       4        6
      45       45
      29       29
      12       12
      30       30
       9        9
       6        6
      40       40
      39       39
      23       23
      33       34
       7        7
      24       24
      24       24
      20       20
      21       21
      14       14
      42       42
      40       40
       7        7
       9        9
      16       16
       4        6
      11       11
      27       27
       7        7
      40       40
      16       16
      16       16
      28       31
      22       22
      26       26
      11       11
      13       13
      44       44
      32       34
      21       21
      13       14
      44       44
      10       11
       5        6
      18       18
      36       37
       7        7
      15       15
      10       10
      13       13
      31       31
       9        9
      20       20
      30       30
       7        7
      18       18
      30       30
      12       14
      10       10
      11       11
      29       29
      17       17
      32       32
      17       20
      11       11
      13       13
      37       40
       5        6
      21       21
      12       12
      17       20
      36       36
      20       20
       7        7
      26       29
      26       26
      16       16
      10       10
       5        6
      15       15
      17       17
      40       40
      23       25
      17       17
      13       13
      40       40
      11       11
      30       30
      17       17
      14       14
      18       19
      14       14
       9        9
      24       24
       7        7
      32       32
      15       15
       6        6
      29       30
       8        9
      15       15
      12       12
      11       11
      37       37
      11       11
      13       13
      22       22
      20       20
      27       29
      17       17
      11       11
      10       10
       9        9
      11       11
      13       13
      11       11
      26       26
      23       23
       7        7
       9       11
      11       12
      10       10
      20       20
      16       17
      15       17
      38       38
      45       45
       8        8
       8        8
      16       16
      29       29
      35       35
      13       13
      24       24
      27       27
       7        7
      26       26
      10       10
       8        8
      29       29
       9        9
      16       16
      32       32
      11       11
       9        9
      31       31
      21       21
       7        7
       6        6
      21       23
      12       12
      10       11
      36       36
      20       20
      31       31
      32       32
      13       13
      10       10
      16       16
      21       21
      34       35
      15       15
      13       13
      28       28
      13       13
      50       50
       6        6
      44       46
       9        9
       9        9
      17       20
      11       15
      14       14
      16       16
      15       18
      10       10
       7        7
      23       23
       8        8
      11       11
      34       34
      21       21
      21       23
      19       19
      21       21
       9        9
       9        9
       8       10
      13       13
       7        7
      18       18
      14       15
      13       13
      19       19
      13       13
      11       11
      20       20
      45       45
      31       31
      27       27
      24       25
      22       22
      11       12
       7        7
      13       13
      11       11
      16       18
       8        9
       7        7
      32       35
      26       29
      26       26
      11       11
      30       30
      30       32
      11       11
      13       13
      13       13
      28       32
      18       18
       7        7
      15       15
      10       10
      31       31
      10       10
      12       13
      12       12
      25       25
      15       16
      24       25
       8        9
      28       28
      13       13
      16       18
      11       11
       8        8
      11       11
      14       14
      11       11
      17       17
      24       24
      15       15
      14       14
      24       24
      24       24
      25       25
      31       31
      13       13
      24       25
      20       20
      10       10
      18       19
      12       12
       8        8
      15       15
      13       13
       7        7
      22       22
      29       29
      29       29
      18       18
      13       13
      13       14
      14       14
      22       26
      13       13
      33       33
      17       17
      10       10
      22       22
      16       17
       6        6
      38       38
      12       12
      11       11
      11       11
      13       13
      17       17
      15       15
      21       21
       8        8
      25       25
      23       24
      10       10
      21       22
      23       23
      43       43
      10       10
      10       10
      21       21
      34       34
       7        7
      17       17
      11       11
      10       10
      17       20
      15       15
      13       15
      22       23
      29       29
      42       42
      18       18
      13       13
      19       19
       7        7
      12       12
      28       28
      16       18
       9        9
      11       11
      26       26
       7        7
      11       11
       8        8
      22       23
      26       26
      10       18
      22       22
      13       13
      21       21
       7        7
      31       31
      23       24
      13       13
      10       10
      13       13
      10       11
      48       48
      22       22
      13       13
      17       18
      17       17
      10       10
      25       25
      31       31
      10       10
      14       14
      27       27
      31       31
      14       16
      20       20
      26       26
      17       17
      21       21
      23       23
      15       15
       6        6
      16       16
      30       30
      16       18
      14       14
      11       11
      10       10
      33       33
      20       20
      22       22
       6        6
      21       21
      19       20
      35       35
      11       11
      11       11
      17       17
      22       22
      14       15
      25       25
      41       41
       5        5
      12       13
       9        9
       5        5
      14       14
      21       21
      22       22
       7        7
      17       20
      44       44
      42       42
      20       21
      27       27
      25       29
      26       26
      19       19
      14       14
      11       11
      10       10
      24       24
      21       21
      18       19
       5        6
      23       23
       5        6
      12       12
      13       13
      24       24
      13       14
       9        9
      21       21
      10       12
      11       11
      21       21
       5        6
      20       20
      17       20
       9        9
       7        7
       9        9
      16       16
      31       31
      43       43
      28       28
      14       14
      10       10
      29       29
      17       20
      16       16
      29       29
      22       22
      11       11
      18       21
      10       10
      23       23
      17       17
      21       22
       8        9
      19       21
      20       20
      11       12
       9        9
      20       20
      16       16
      20       20
      11       12
      21       21
      39       39
      34       34
       9       14
      44       44
      11       11
      22       22
      26       26
      11       11
      32       32
      15       15
      14       14
      16       16
      29       29
      16       16
       9        9
      25       25
      21       21
      18       21
       8       14
      10       10
      35       35
      24       24
      14       14
      13       13
      13       14
      15       15
      14       14
      19       20
      12       13
      11       12
      26       26
      15       17
      10       10
      14       14
      14       14
      10       10
      36       36
      12       12
      11       11
       8        8
       9        9
      18       19
      18       18
      10       10
      20       20
      30       30
      14       14
       7        7
       9        9
      23       23
      14       14
      32       32
      41       42
       9        9
       9        9
      17       17
       9        9
      14       14
       5        6
      36       37
      10       11
      26       26
      20       21
      21       21
      30       30
      31       31
      26       26
      32       33
       9        9
      21       21
       7        7
      45       45
      35       35
      14       14
      26       26
      34       35
      33       35
      31       31
      37       37
      15       15
      10       10
      22       22
      20       20
      17       17
       9        9
      28       33
      25       25
      29       29
