      47       55
      10       11
     393      458
     382      637
       9        9
      11       11
      13       13
     998     1152
      23       23
      21       26
      57       60
      36       48
     353      366
      34       39
     162      168
      12       15
    2490     3117
       9       10
      42       44
    1725     3168
       7       13
      17       29
      34       71
     220      243
    1466     2893
     100      113
     172      245
     661     1104
      58       53
    4409     7265
    1061     1818
      10       12
      43       51
     324      397
      22       25
      29       29
    1080     1256
    1266     1899
     961     1337
      74       77
      40       55
     147      152
     263      309
     104      115
    3028     4262
     209      354
    6152     7756
      16       16
      26       31
       8        8
       9        9
     498      929
      13       13
       8        8
      93       97
       9        9
       8        8
     866     1487
      79       87
      86      103
      44       54
     601      646
     109      165
      21       28
       9       10
      10       10
      63       84
      28       30
       8        8
     612     1145
     213      308
       8        8
       5        5
     124      175
     170      218
      20       26
    1403     2430
    1248     1451
     259      458
      95       96
     168      194
      15       15
       7       15
     476      671
    2368     2771
      84       89
      73      130
     141      157
     588     1109
      19       24
     138      155
     263      461
      51       57
      38       43
      38       49
    2885     5192
      20       19
    1351     2372
     421      544
     105      117
      36       38
       8       11
      21       27
      45       53
     373      429
      24       24
      25       30
    1589     2489
      52       52
      35       53
       9        9
     864     1031
    4022     7267
     203      379
      60       60
     206      498
     183      210
     879     1411
     479      593
      19       26
     100      107
      17       28
      13       13
     366      754
      97      225
     312      290
     941     1234
    1394     1857
      16       19
      54       71
     271      290
      55       72
    1699     2388
       6        6
      14       17
     118      226
      41       65
     101      105
       8        9
       9        9
    2224     4033
    1610     3906
      36       48
     371      395
      91      124
      60      122
      14       26
       7        7
     162      168
      10       16
      37       39
      23       29
    3195     3927
       7        7
     131      147
      24       29
      11       11
      22       24
     273      354
      54       63
       6        7
     207      269
      78      127
       9       13
    1872     3521
      14       17
      19       20
    3421     5833
      37      112
     267      519
      37       48
      40       43
    1190     1373
      77      135
     128      217
     244      334
      18       19
      11       12
    2212     3305
       9       11
      43       51
      26       32
     261      423
     196      282
     134      207
       6        7
      91      109
      31       28
      22       30
      10       11
    1287     1415
      14       16
      25       28
      43       53
      27       30
      51       84
     500      561
       8       11
      16       16
     100      110
      10       12
     148      219
      15       15
     332      386
     102      119
     613      974
     235      422
      25       32
      58       59
     197      270
      25       25
     109      186
       8        9
    1279     2584
    1231     1950
    1105     1802
       9       10
      16       21
    2005     3555
      72       80
     216      300
      44       55
      59       64
    1095     1476
       6        7
    3663     4310
      27       42
      16       42
       9        9
     251      321
     858      981
       9        9
     261      295
    1727     3089
     120      135
    1175     2565
      45       49
      26       29
      20       32
      48       48
      18       17
      16       21
     743     1151
      93      164
      87       87
    3361     4724
      57       75
     157      165
     886     1252
      18       29
      32       74
      12       12
       4        5
      36       41
      15       17
    1528     2099
      14       14
     344      485
       6        7
    3579     4981
       5        7
      57       57
    1124     1941
      12       18
       6        6
      99      124
     361      520
     950     1785
      41       48
      98      124
    1557     2004
     800     1215
      49       75
      15       17
      39       45
      47       45
     874     1302
      42       38
      10        9
     277      337
      90      107
